OTU	Kingdom	Phylum	Class	Order	Family	Genus	Specie
OTU_60	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium] hallii group	
OTU_203	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	
OTU_65	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae ND3007 group	
OTU_76	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	
OTU_71	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. S16-11
OTU_154	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Tyzzerella	
OTU_7	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	
OTU_94	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_190	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Senegalimassilia	
OTU_69	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	
OTU_218	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XIII	Family XIII AD3011 group	
OTU_245	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium 5	
OTU_42	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	
OTU_188	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	
OTU_282	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae		
OTU_11	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 1	
OTU_206	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Phocea	Anaerotruncus colihominis
OTU_21	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	
OTU_101	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Bacteroides sp. DSM 12148
OTU_208	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_57	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	
OTU_166	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-002	
OTU_56	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	
OTU_160	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group	
OTU_88	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	
OTU_194	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_288	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	
OTU_211	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-011	
OTU_236	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_112	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium 9	
OTU_270	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus] torques group	
OTU_80	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Tyzzerella 3	
OTU_219	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	
OTU_87	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriales Incertae Sedis		
OTU_138	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	
